team1,team2,team1_toss_win,team1_powerplay_score,team2_powerplay_score,venue,team1_win
13,10,0.0,117.0,90.0,22,1.0
8,11,0.0,121.0,101.0,16,0.0
4,5,0.0,107.0,75.0,24,0.0
11,7,0.0,97.0,96.0,11,0.0
10,2,1.0,75.0,67.0,14,1.0
4,13,0.0,74.0,62.0,22,0.0
5,8,0.0,119.0,116.0,33,0.0
10,7,1.0,100.0,57.0,11,0.0
2,11,0.0,140.0,46.0,16,1.0
13,8,0.0,74.0,89.0,33,0.0
7,5,0.0,104.0,83.0,7,0.0
10,8,0.0,72.0,83.0,14,0.0
11,4,0.0,111.0,95.0,24,0.0
5,13,0.0,88.0,96.0,7,1.0
2,7,1.0,119.0,80.0,8,1.0
4,8,0.0,102.0,105.0,33,0.0
11,10,0.0,102.0,86.0,14,1.0
2,5,1.0,109.0,78.0,8,0.0
13,7,0.0,88.0,102.0,22,1.0
10,4,0.0,114.0,106.0,24,1.0
13,2,1.0,95.0,112.0,22,1.0
7,8,0.0,126.0,97.0,11,0.0
5,4,0.0,112.0,117.0,7,0.0
8,2,0.0,95.0,66.0,33,1.0
13,11,0.0,113.0,115.0,16,0.0
7,4,0.0,96.0,99.0,24,1.0
5,10,0.0,87.0,28.0,7,1.0
11,8,0.0,86.0,87.0,33,1.0
11,5,0.0,110.0,75.0,16,0.0
10,4,0.0,55.0,38.0,14,0.0
2,5,0.0,85.0,59.0,7,0.0
13,7,0.0,114.0,102.0,21,1.0
11,10,0.0,79.0,63.0,16,1.0
4,8,1.0,111.0,107.0,24,0.0
2,7,0.0,30.0,39.0,21,0.0
13,5,0.0,130.0,79.0,22,1.0
10,8,1.0,91.0,108.0,33,0.0
4,11,0.0,79.0,114.0,16,0.0
13,2,0.0,128.0,98.0,8,0.0
5,11,0.0,79.0,86.0,7,0.0
4,2,0.0,96.0,95.0,8,0.0
7,10,0.0,88.0,68.0,14,1.0
11,13,0.0,74.0,73.0,22,1.0
8,2,0.0,114.0,31.0,8,1.0
10,5,0.0,96.0,88.0,14,0.0
7,4,0.0,104.0,104.0,21,0.0
8,13,1.0,72.0,68.0,22,0.0
7,5,0.0,101.0,96.0,21,1.0
4,2,0.0,108.0,123.0,9,0.0
7,8,0.0,129.0,138.0,33,1.0
2,11,1.0,91.0,91.0,8,1.0
4,13,0.0,79.0,74.0,9,0.0
8,5,0.0,107.0,85.0,7,1.0
7,11,0.0,33.0,36.0,16,0.0
10,2,1.0,90.0,90.0,8,1.0
11,8,0.0,97.0,85.0,33,1.0
13,5,0.0,70.0,46.0,14,0.0
5,8,0.0,49.0,38.0,14,0.0
8,11,1.0,66.0,83.0,22,1.0
5,10,0.0,152.0,29.0,14,1.0
0,7,1.0,139.0,102.0,21,1.0
12,2,1.0,79.0,65.0,8,0.0
8,10,1.0,107.0,94.0,33,0.0
1,5,1.0,68.0,58.0,7,0.0
7,12,1.0,92.0,89.0,25,0.0
1,2,1.0,97.0,37.0,22,0.0
0,8,0.0,111.0,122.0,15,1.0
1,12,0.0,133.0,135.0,22,0.0
7,8,0.0,103.0,52.0,21,1.0
10,12,0.0,87.0,60.0,14,0.0
5,0,1.0,105.0,80.0,15,0.0
8,1,0.0,92.0,47.0,4,0.0
2,7,1.0,100.0,86.0,21,0.0
0,10,1.0,109.0,70.0,14,1.0
5,8,1.0,98.0,65.0,7,0.0
